UserId,TrajScore,TypeScore,AllScore
277,0.5587119,0.9758967,0.7673043
278,0.96747893,0.98526657,0.9763727
279,0.7774204,0.960251,0.8688357
280,0.80323243,0.9824478,0.89284015
281,0.90186054,0.9824925,0.9421765
282,0.8456112,0.9984765,0.92204386
283,0.96230745,0.9996503,0.98097885
284,0.9103031,0.99954486,0.954924
285,0.98182505,0.9996751,0.9907501
286,0.9755801,0.98227423,0.97892714
287,0.9280197,0.98495734,0.9564885
288,0.90923166,0.99955547,0.95439357
289,0.9403933,0.9993445,0.9698689
290,0.93609935,0.9852572,0.9606783
291,0.7944478,0.98148715,0.88796747
292,0.84215057,0.9990244,0.9205875
293,0.92112124,0.9815284,0.9513248
294,0.78489995,0.99961025,0.89225507
295,0.9032426,0.99879485,0.9510187
296,0.7335126,0.98222274,0.85786766
297,0.91191375,0.99957734,0.9557456
298,0.88810974,0.9972945,0.9427021
299,0.8870512,0.99770784,0.94237953
300,0.90001637,0.9997239,0.9498701
301,0.94089437,0.999828,0.9703612
302,0.9108308,0.9986145,0.95472264
303,0.8565266,0.9554082,0.9059674
304,0.77431804,0.9914501,0.882884
305,0.92147994,0.9842278,0.95285386
306,0.88230085,0.9990552,0.940678
307,0.83967954,0.9646039,0.9021417
308,0.8968336,0.9998681,0.94835085
309,0.9445485,0.99942046,0.9719845
310,0.417426,0.99496543,0.7061957
311,0.7792055,0.9988971,0.8890513
312,0.95424795,0.9994686,0.97685826
313,0.8650119,0.99887633,0.93194413
314,0.750657,0.9849325,0.86779475
315,0.93741465,0.99965143,0.96853304
316,0.82311183,0.9692579,0.89618486
317,0.9031249,0.9381507,0.92063785
318,0.88334006,0.99891055,0.9411253
319,0.76034695,0.99756366,0.8789553
320,0.8510328,0.99898887,0.9250108
321,0.85883045,0.99937934,0.9291049
322,0.97182333,0.99960023,0.9857118
323,0.93901926,0.99751765,0.96826845
324,0.8290354,0.97845656,0.903746
325,0.8599284,0.98677933,0.9233539
326,0.91307956,0.9996353,0.9563574
327,0.852138,0.9995079,0.925823
328,0.8750303,0.99840957,0.9367199
329,0.97900057,0.9828222,0.9809114
330,0.9749706,0.99971837,0.9873445
331,0.90533376,0.9992788,0.9523063
332,0.87800044,0.9986327,0.9383166
333,0.67711234,0.9886154,0.83286387
334,0.7562322,0.9994768,0.87785447
335,0.9543569,0.99965245,0.97700465
336,0.96105546,0.99975944,0.9804075
337,0.9390995,0.99932075,0.96921015
338,0.8953576,0.9837677,0.9395627
339,0.83797324,0.9997589,0.91886604
340,0.9856535,0.9837811,0.9847173
341,0.57023996,0.93966836,0.75495416
342,0.87329566,0.99631107,0.93480337
343,0.95174754,0.99967515,0.97571135
344,0.89460045,0.9984579,0.94652915
345,0.9348976,0.997018,0.96595776
346,0.82651687,0.9935503,0.9100336
347,0.665623,0.9982254,0.8319242
348,0.76102763,0.99817187,0.87959975
349,0.9770225,0.9999153,0.9884689
350,0.9821969,0.9992043,0.9907006
351,0.63724655,0.9992367,0.8182416
352,0.9580824,0.99981505,0.9789487
353,0.24299735,0.13920772,0.19110253
354,0.80785567,0.9991093,0.9034825
355,0.88384044,0.98624563,0.93504304
356,0.9379733,0.9996549,0.96881413
357,0.94429475,0.99978334,0.97203904
358,0.760412,0.9801215,0.87026674
359,0.948609,0.9842794,0.9664442
360,0.9222465,0.99929744,0.960772
361,0.76196295,0.99952954,0.88074625
